2015-07-01 14:19:24,883 - analysis - INFO - Accuracy: 0.771587743733, Macro_F score: 0.774725274725, Precision: 0.774725274725, Recall: 0.774725274725; Test data size: 359
2015-07-01 14:19:33,374 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.785714285714, Precision: 0.785714285714, Recall: 0.785714285714; Test data size: 359
2015-07-01 14:19:41,911 - analysis - INFO - Accuracy: 0.779944289694, Macro_F score: 0.782369146006, Precision: 0.78453038674, Recall: 0.78021978022; Test data size: 359
2015-07-01 14:19:51,033 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.783333333333, Precision: 0.792134831461, Recall: 0.774725274725; Test data size: 359
2015-07-01 14:20:01,452 - analysis - INFO - Accuracy: 0.791086350975, Macro_F score: 0.792243767313, Precision: 0.798882681564, Recall: 0.785714285714; Test data size: 359
2015-07-01 14:23:23,411 - analysis - INFO - Accuracy: 0.793871866295, Macro_F score: 0.794444444444, Precision: 0.803370786517, Recall: 0.785714285714; Test data size: 359
2015-07-01 14:23:28,698 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.782122905028, Precision: 0.795454545455, Recall: 0.769230769231; Test data size: 359
2015-07-01 14:24:36,043 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.782122905028, Precision: 0.795454545455, Recall: 0.769230769231; Test data size: 359
2015-07-01 14:24:52,528 - analysis - INFO - Accuracy: 0.788300835655, Macro_F score: 0.788888888889, Precision: 0.797752808989, Recall: 0.78021978022; Test data size: 359
2015-07-01 14:45:44,517 - analysis - INFO - Accuracy: 0.757660167131, Macro_F score: 0.759002770083, Precision: 0.765363128492, Recall: 0.752747252747; Test data size: 359
2015-07-01 22:02:15,102 - __main__ - INFO - Accuracy: 0.75208913649, Macro_F score: 0.750700280112, Precision: 0.765714285714, Recall: 0.736263736264; Test data size: 359
2015-07-01 22:24:16,047 - __main__ - INFO - Accuracy: 0.738161559889, Macro_F score: 0.751322751323, Precision: 0.724489795918, Recall: 0.78021978022; Test data size: 359
2015-07-01 22:36:16,281 - __main__ - INFO - Accuracy: 0.757660167131, Macro_F score: 0.753541076487, Precision: 0.777777777778, Recall: 0.730769230769; Test data size: 359
2015-07-01 23:00:08,174 - __main__ - INFO - Accuracy: 0.75208913649, Macro_F score: 0.753462603878, Precision: 0.759776536313, Recall: 0.747252747253; Test data size: 359
2015-07-01 23:01:13,777 - analysis - INFO - Accuracy: 0.75208913649, Macro_F score: 0.753462603878, Precision: 0.759776536313, Recall: 0.747252747253; Test data size: 359
2015-07-01 23:07:46,436 - analysis - INFO - Accuracy: 0.75208913649, Macro_F score: 0.753462603878, Precision: 0.759776536313, Recall: 0.747252747253; Test data size: 359
2015-07-02 09:57:48,524 - analysis - INFO - Accuracy: 0.75208913649, Macro_F score: 0.753462603878, Precision: 0.759776536313, Recall: 0.747252747253; Test data size: 359
2015-07-02 09:59:59,723 - analysis - INFO - Accuracy: 0.75208913649, Macro_F score: 0.753462603878, Precision: 0.759776536313, Recall: 0.747252747253; Test data size: 359
2015-07-02 10:04:28,894 - __main__ - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 10:06:30,854 - __main__ - INFO - Accuracy: 0.771587743733, Macro_F score: 0.77094972067, Precision: 0.784090909091, Recall: 0.758241758242; Test data size: 359
2015-07-02 10:08:09,956 - __main__ - INFO - Accuracy: 0.754874651811, Macro_F score: 0.778894472362, Precision: 0.717592592593, Recall: 0.851648351648; Test data size: 359
2015-07-02 10:10:03,459 - __main__ - INFO - Accuracy: 0.788300835655, Macro_F score: 0.80612244898, Precision: 0.752380952381, Recall: 0.868131868132; Test data size: 359
2015-07-02 10:10:54,544 - __main__ - INFO - Accuracy: 0.774373259053, Macro_F score: 0.774373259053, Precision: 0.785310734463, Recall: 0.763736263736; Test data size: 359
2015-07-02 10:11:57,042 - __main__ - INFO - Accuracy: 0.796657381616, Macro_F score: 0.779456193353, Precision: 0.865771812081, Recall: 0.708791208791; Test data size: 359
2015-07-02 10:13:18,693 - __main__ - INFO - Accuracy: 0.805013927577, Macro_F score: 0.795321637427, Precision: 0.85, Recall: 0.747252747253; Test data size: 359
2015-07-02 10:15:21,068 - __main__ - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 10:45:54,181 - __main__ - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 10:47:48,529 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 10:47:55,254 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 12:27:46,158 - logger_manager - INFO - Accuracy: 0.75208913649, Macro_F score: 0.756164383562, Precision: 0.754098360656, Recall: 0.758241758242; Test data size: 359
2015-07-02 13:15:55,106 - logger_manager - INFO - Accuracy: 0.75208913649, Macro_F score: 0.756164383562, Precision: 0.754098360656, Recall: 0.758241758242; Test data size: 359
2015-07-02 13:16:46,021 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 13:18:45,073 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 13:19:37,117 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
